District,Filename,Category,Subcategory,Order
Aberdeen School District,Historical Demographics for the Aberdeen School District.png,student demographics,student demographics,5
Adna School District,Historical Demographics for the Adna School District.png,student demographics,student demographics,5
Almira School District,Historical Demographics for the Almira School District.png,student demographics,student demographics,5
Anacortes School District,Historical Demographics for the Anacortes School District.png,student demographics,student demographics,5
Arlington School District,Historical Demographics for the Arlington School District.png,student demographics,student demographics,5
Asotin-Anatone School District,Historical Demographics for the Asotin-Anatone School District.png,student demographics,student demographics,5
Auburn School District,Historical Demographics for the Auburn School District.png,student demographics,student demographics,5
Bainbridge Island School District,Historical Demographics for the Bainbridge Island School District.png,student demographics,student demographics,5
Battle Ground School District,Historical Demographics for the Battle Ground School District.png,student demographics,student demographics,5
Bellevue School District,Historical Demographics for the Bellevue School District.png,student demographics,student demographics,5
Bellingham School District,Historical Demographics for the Bellingham School District.png,student demographics,student demographics,5
Benge School District,Historical Demographics for the Benge School District.png,student demographics,student demographics,5
Bethel School District,Historical Demographics for the Bethel School District.png,student demographics,student demographics,5
Bickleton School District,Historical Demographics for the Bickleton School District.png,student demographics,student demographics,5
Blaine School District,Historical Demographics for the Blaine School District.png,student demographics,student demographics,5
Boistfort School District,Historical Demographics for the Boistfort School District.png,student demographics,student demographics,5
Bremerton School District,Historical Demographics for the Bremerton School District.png,student demographics,student demographics,5
Brewster School District,Historical Demographics for the Brewster School District.png,student demographics,student demographics,5
Bridgeport School District,Historical Demographics for the Bridgeport School District.png,student demographics,student demographics,5
Brinnon School District,Historical Demographics for the Brinnon School District.png,student demographics,student demographics,5
Burlington-Edison School District,Historical Demographics for the Burlington-Edison School District.png,student demographics,student demographics,5
Camas School District,Historical Demographics for the Camas School District.png,student demographics,student demographics,5
Cape Flattery School District,Historical Demographics for the Cape Flattery School District.png,student demographics,student demographics,5
Carbonado School District,Historical Demographics for the Carbonado School District.png,student demographics,student demographics,5
Cascade School District,Historical Demographics for the Cascade School District.png,student demographics,student demographics,5
Cashmere School District,Historical Demographics for the Cashmere School District.png,student demographics,student demographics,5
Castle Rock School District,Historical Demographics for the Castle Rock School District.png,student demographics,student demographics,5
Centerville School District,Historical Demographics for the Centerville School District.png,student demographics,student demographics,5
Central Kitsap School District,Historical Demographics for the Central Kitsap School District.png,student demographics,student demographics,5
Central Valley School District,Historical Demographics for the Central Valley School District.png,student demographics,student demographics,5
Centralia School District,Historical Demographics for the Centralia School District.png,student demographics,student demographics,5
Chehalis School District,Historical Demographics for the Chehalis School District.png,student demographics,student demographics,5
Cheney School District,Historical Demographics for the Cheney School District.png,student demographics,student demographics,5
Chewelah School District,Historical Demographics for the Chewelah School District.png,student demographics,student demographics,5
Chimacum School District,Historical Demographics for the Chimacum School District.png,student demographics,student demographics,5
Clarkston School District,Historical Demographics for the Clarkston School District.png,student demographics,student demographics,5
Cle Elum-Roslyn School District,Historical Demographics for the Cle Elum-Roslyn School District.png,student demographics,student demographics,5
Clover Park School District,Historical Demographics for the Clover Park School District.png,student demographics,student demographics,5
Colfax School District,Historical Demographics for the Colfax School District.png,student demographics,student demographics,5
College Place School District,Historical Demographics for the College Place School District.png,student demographics,student demographics,5
Colton School District,Historical Demographics for the Colton School District.png,student demographics,student demographics,5
Columbia (Stevens) School District,Historical Demographics for the Columbia (Stevens) School District.png,student demographics,student demographics,5
Columbia (Walla Walla) School District,Historical Demographics for the Columbia (Walla Walla) School District.png,student demographics,student demographics,5
Colville School District,Historical Demographics for the Colville School District.png,student demographics,student demographics,5
Concrete School District,Historical Demographics for the Concrete School District.png,student demographics,student demographics,5
Conway School District,Historical Demographics for the Conway School District.png,student demographics,student demographics,5
Cosmopolis School District,Historical Demographics for the Cosmopolis School District.png,student demographics,student demographics,5
Coulee-Hartline School District,Historical Demographics for the Coulee-Hartline School District.png,student demographics,student demographics,5
Coupeville School District,Historical Demographics for the Coupeville School District.png,student demographics,student demographics,5
Crescent School District,Historical Demographics for the Crescent School District.png,student demographics,student demographics,5
Creston School District,Historical Demographics for the Creston School District.png,student demographics,student demographics,5
Curlew School District,Historical Demographics for the Curlew School District.png,student demographics,student demographics,5
Cusick School District,Historical Demographics for the Cusick School District.png,student demographics,student demographics,5
Damman School District,Historical Demographics for the Damman School District.png,student demographics,student demographics,5
Darrington School District,Historical Demographics for the Darrington School District.png,student demographics,student demographics,5
Davenport School District,Historical Demographics for the Davenport School District.png,student demographics,student demographics,5
Dayton School District,Historical Demographics for the Dayton School District.png,student demographics,student demographics,5
Deer Park School District,Historical Demographics for the Deer Park School District.png,student demographics,student demographics,5
Dieringer School District,Historical Demographics for the Dieringer School District.png,student demographics,student demographics,5
Dixie School District,Historical Demographics for the Dixie School District.png,student demographics,student demographics,5
East Valley School District (Spokane),Historical Demographics for the East Valley School District (Spokane).png,student demographics,student demographics,5
East Valley School District (Yakima),Historical Demographics for the East Valley School District (Yakima).png,student demographics,student demographics,5
Eastmont School District,Historical Demographics for the Eastmont School District.png,student demographics,student demographics,5
Easton School District,Historical Demographics for the Easton School District.png,student demographics,student demographics,5
Eatonville School District,Historical Demographics for the Eatonville School District.png,student demographics,student demographics,5
Edmonds School District,Historical Demographics for the Edmonds School District.png,student demographics,student demographics,5
Ellensburg School District,Historical Demographics for the Ellensburg School District.png,student demographics,student demographics,5
Elma School District,Historical Demographics for the Elma School District.png,student demographics,student demographics,5
Endicott School District,Historical Demographics for the Endicott School District.png,student demographics,student demographics,5
Entiat School District,Historical Demographics for the Entiat School District.png,student demographics,student demographics,5
Enumclaw School District,Historical Demographics for the Enumclaw School District.png,student demographics,student demographics,5
Ephrata School District,Historical Demographics for the Ephrata School District.png,student demographics,student demographics,5
Evaline School District,Historical Demographics for the Evaline School District.png,student demographics,student demographics,5
Everett School District,Historical Demographics for the Everett School District.png,student demographics,student demographics,5
Evergreen School District (Clark),Historical Demographics for the Evergreen School District (Clark).png,student demographics,student demographics,5
Evergreen School District (Stevens),Historical Demographics for the Evergreen School District (Stevens).png,student demographics,student demographics,5
Excel Public Charter School,Historical Demographics for the Excel Public Charter School.png,student demographics,student demographics,5
Federal Way School District,Historical Demographics for the Federal Way School District.png,student demographics,student demographics,5
Ferndale School District,Historical Demographics for the Ferndale School District.png,student demographics,student demographics,5
Fife School District,Historical Demographics for the Fife School District.png,student demographics,student demographics,5
Finley School District,Historical Demographics for the Finley School District.png,student demographics,student demographics,5
Franklin Pierce School District,Historical Demographics for the Franklin Pierce School District.png,student demographics,student demographics,5
Freeman School District,Historical Demographics for the Freeman School District.png,student demographics,student demographics,5
Garfield School District,Historical Demographics for the Garfield School District.png,student demographics,student demographics,5
Glenwood School District,Historical Demographics for the Glenwood School District.png,student demographics,student demographics,5
Goldendale School District,Historical Demographics for the Goldendale School District.png,student demographics,student demographics,5
Grand Coulee Dam School District,Historical Demographics for the Grand Coulee Dam School District.png,student demographics,student demographics,5
Grandview School District,Historical Demographics for the Grandview School District.png,student demographics,student demographics,5
Granger School District,Historical Demographics for the Granger School District.png,student demographics,student demographics,5
Granite Falls School District,Historical Demographics for the Granite Falls School District.png,student demographics,student demographics,5
Grapeview School District,Historical Demographics for the Grapeview School District.png,student demographics,student demographics,5
Great Northern School District,Historical Demographics for the Great Northern School District.png,student demographics,student demographics,5
Green Dot Destiny,Historical Demographics for the Green Dot Destiny.png,student demographics,student demographics,5
Green Mountain School District,Historical Demographics for the Green Mountain School District.png,student demographics,student demographics,5
Griffin School District,Historical Demographics for the Griffin School District.png,student demographics,student demographics,5
Harrington School District,Historical Demographics for the Harrington School District.png,student demographics,student demographics,5
Highland School District,Historical Demographics for the Highland School District.png,student demographics,student demographics,5
Highline School District,Historical Demographics for the Highline School District.png,student demographics,student demographics,5
Hockinson School District,Historical Demographics for the Hockinson School District.png,student demographics,student demographics,5
Hood Canal School District,Historical Demographics for the Hood Canal School District.png,student demographics,student demographics,5
Hoquiam School District,Historical Demographics for the Hoquiam School District.png,student demographics,student demographics,5
Impact Public Schools,Historical Demographics for the Impact Public Schools.png,student demographics,student demographics,5
Inchelium School District,Historical Demographics for the Inchelium School District.png,student demographics,student demographics,5
Index Elementary School District 63,Historical Demographics for the Index Elementary School District 63.png,student demographics,student demographics,5
Innovation Schools,Historical Demographics for the Innovation Schools.png,student demographics,student demographics,5
Issaquah School District,Historical Demographics for the Issaquah School District.png,student demographics,student demographics,5
Kahlotus School District,Historical Demographics for the Kahlotus School District.png,student demographics,student demographics,5
Kalama School District,Historical Demographics for the Kalama School District.png,student demographics,student demographics,5
Keller School District,Historical Demographics for the Keller School District.png,student demographics,student demographics,5
Kelso School District,Historical Demographics for the Kelso School District.png,student demographics,student demographics,5
Kennewick School District,Historical Demographics for the Kennewick School District.png,student demographics,student demographics,5
Kent School District,Historical Demographics for the Kent School District.png,student demographics,student demographics,5
Kettle Falls School District,Historical Demographics for the Kettle Falls School District.png,student demographics,student demographics,5
Kiona-Benton City School District,Historical Demographics for the Kiona-Benton City School District.png,student demographics,student demographics,5
Kittitas School District,Historical Demographics for the Kittitas School District.png,student demographics,student demographics,5
Klickitat School District,Historical Demographics for the Klickitat School District.png,student demographics,student demographics,5
La Center School District,Historical Demographics for the La Center School District.png,student demographics,student demographics,5
La Conner School District,Historical Demographics for the La Conner School District.png,student demographics,student demographics,5
LaCrosse School District,Historical Demographics for the LaCrosse School District.png,student demographics,student demographics,5
Lake Chelan School District,Historical Demographics for the Lake Chelan School District.png,student demographics,student demographics,5
Lake Quinault School District,Historical Demographics for the Lake Quinault School District.png,student demographics,student demographics,5
Lake Stevens School District,Historical Demographics for the Lake Stevens School District.png,student demographics,student demographics,5
Lake Washington School District,Historical Demographics for the Lake Washington School District.png,student demographics,student demographics,5
Lakewood School District,Historical Demographics for the Lakewood School District.png,student demographics,student demographics,5
Lamont School District,Historical Demographics for the Lamont School District.png,student demographics,student demographics,5
Liberty School District,Historical Demographics for the Liberty School District.png,student demographics,student demographics,5
Lind School District,Historical Demographics for the Lind School District.png,student demographics,student demographics,5
Longview School District,Historical Demographics for the Longview School District.png,student demographics,student demographics,5
Loon Lake School District,Historical Demographics for the Loon Lake School District.png,student demographics,student demographics,5
Lopez School District,Historical Demographics for the Lopez School District.png,student demographics,student demographics,5
Lyle School District,Historical Demographics for the Lyle School District.png,student demographics,student demographics,5
Lynden School District,Historical Demographics for the Lynden School District.png,student demographics,student demographics,5
Mabton School District,Historical Demographics for the Mabton School District.png,student demographics,student demographics,5
Mansfield School District,Historical Demographics for the Mansfield School District.png,student demographics,student demographics,5
Manson School District,Historical Demographics for the Manson School District.png,student demographics,student demographics,5
Mary M Knight School District,Historical Demographics for the Mary M Knight School District.png,student demographics,student demographics,5
Mary Walker School District,Historical Demographics for the Mary Walker School District.png,student demographics,student demographics,5
Marysville School District,Historical Demographics for the Marysville School District.png,student demographics,student demographics,5
McCleary School District,Historical Demographics for the McCleary School District.png,student demographics,student demographics,5
Mead School District,Historical Demographics for the Mead School District.png,student demographics,student demographics,5
Medical Lake School District,Historical Demographics for the Medical Lake School District.png,student demographics,student demographics,5
Mercer Island School District,Historical Demographics for the Mercer Island School District.png,student demographics,student demographics,5
Meridian School District,Historical Demographics for the Meridian School District.png,student demographics,student demographics,5
Methow Valley School District,Historical Demographics for the Methow Valley School District.png,student demographics,student demographics,5
Mill A School District,Historical Demographics for the Mill A School District.png,student demographics,student demographics,5
Monroe School District,Historical Demographics for the Monroe School District.png,student demographics,student demographics,5
Montesano School District,Historical Demographics for the Montesano School District.png,student demographics,student demographics,5
Morton School District,Historical Demographics for the Morton School District.png,student demographics,student demographics,5
Moses Lake School District,Historical Demographics for the Moses Lake School District.png,student demographics,student demographics,5
Mossyrock School District,Historical Demographics for the Mossyrock School District.png,student demographics,student demographics,5
Mount Adams School District,Historical Demographics for the Mount Adams School District.png,student demographics,student demographics,5
Mount Baker School District,Historical Demographics for the Mount Baker School District.png,student demographics,student demographics,5
Mount Pleasant School District,Historical Demographics for the Mount Pleasant School District.png,student demographics,student demographics,5
Mount Vernon School District,Historical Demographics for the Mount Vernon School District.png,student demographics,student demographics,5
Mukilteo School District,Historical Demographics for the Mukilteo School District.png,student demographics,student demographics,5
Naches Valley School District,Historical Demographics for the Naches Valley School District.png,student demographics,student demographics,5
Napavine School District,Historical Demographics for the Napavine School District.png,student demographics,student demographics,5
Naselle-Grays River Valley School District,Historical Demographics for the Naselle-Grays River Valley School District.png,student demographics,student demographics,5
Nespelem School District #14,Historical Demographics for the Nespelem School District #14.png,student demographics,student demographics,5
Newport School District,Historical Demographics for the Newport School District.png,student demographics,student demographics,5
