,Year,New Bond Principal,New Bond Interest Plus Fees,Existing Bond
19,2025,,,698.4663169740726
0,2026,137.22534907483947,583.7781477269299,372.3291113683123
1,2027,60.39032905400095,692.6494894863125,383.6908301244239
2,2028,97.05683057218734,690.0681442364609,395.0525488805354
3,2029,138.2590792239611,685.9311748054446,405.6692368985413
4,2030,181.20935624501527,680.0461770051478,417.96224407728505
5,2031,226.72645041652808,672.3393927924982,430.814024309608
6,2032,277.77279021089214,662.6422589629992,442.9207738038252
7,2033,331.1888865254858,650.761626297797,456.51758477425386
8,2034,390.24244417764066,636.5961706165092,469.3693650065768
9,2035,935.5334215201384,619.9045019599896,
10,2036,1037.7819987908151,579.8659913211369,
11,2037,1147.3851469927022,535.4530327034968,
12,2038,1263.7259806746476,486.35122313558855,
13,2039,1388.21130412788,432.27130443334266,
14,2040,1519.885056657725,372.8655334997484,
15,2041,1660.7310688620737,307.82639889765255,
16,2042,1811.1419719399073,236.76126942807343,
17,2043,1970.4092416592878,159.2611232157911,
18,2044,1769.2349242098855,77.8825332386151,
