,Year,New Bond Principal,New Bond Interest Plus Fees,Existing Bond
0,2025,40.57061303901295,0.0,1299.1223847155732
1,2026,6.86908752644485,74.25159646902965,1410.4193879790528
2,2027,86.34856183647533,143.31192108816506,1427.5104006618167
3,2028,34.525057602053685,208.09747941251945,1625.864749778125
4,2029,61.41102825530588,206.56043862769357,1737.2644634543617
5,2030,73.46084954329609,203.85726490058988,1872.698413715735
6,2031,32.60459884640595,204.08127631081288,1963.6998394184325
7,2032,114.98399895021741,202.63768145951335,2147.4693099232477
8,2033,659.349042767712,194.1744872429148,1921.4242335276533
9,2034,2799.9562494725824,163.1569902365125,0.0
10,2035,847.4672310644933,32.411770317495964,0.0
