,Year,New Bond Principal,New Bond Interest Plus Fees,Existing Bond
23,2025,,,756.0736898961785
0,2026,190.86977015716178,329.06661074353156,492.15224574654405
1,2027,79.4166908464738,556.333319554481,449.72436801615976
2,2028,48.407758586667484,722.4210331448809,454.123058751987
3,2029,53.73379355294033,917.0405479552614,458.744468006084
4,2030,60.96139922820016,914.2673126453963,463.2545180010461
5,2031,102.52568590399353,911.121970371132,467.9316068847105
6,2032,147.2793017614095,905.9008915065937,472.7757346570772
7,2033,195.72213851470445,898.4382621149298,477.50850317030904
8,2034,248.0939526487958,888.5500053407901,482.2969513131083
9,2035,304.0893970751357,876.0403516066157,487.3081179741773
10,2036,635.8865368526542,860.7262262903888,
11,2037,712.6027099854779,828.832154959349,
12,2038,794.4387364162862,793.0988618103755,
13,2039,881.986490607381,753.2685501585712,
14,2040,975.3632338586314,709.0569198153646,
15,2041,1074.7490897716877,660.1724879199703,
16,2042,1180.9146087401339,606.1231022266418,
17,2043,1295.8772864617165,544.7242281489303,
18,2044,1418.262392882415,477.3505957408558,
19,2045,1548.9663700382657,403.6068796324895,
20,2046,1689.5025345812817,321.6456853944136,
21,2047,1837.3405257457707,234.16441268102227,
22,2048,2006.413446995799,127.17427839868236,
