,Year,New Bond Principal,New Bond Interest Plus Fees,Existing Bond
20,2025,,,540.5598442294853
0,2026,28.370673114882987,278.56269392148477,384.7391097767537
1,2027,7.296250091023303,576.316570119191,395.46311958969346
2,2028,29.84929610040826,629.3198404016241,407.7564966923318
3,2029,70.79264138325289,628.0117378908318,420.6253084678595
4,2030,106.31127681769699,624.8220686241768,433.09305971379763
5,2031,145.58406549548621,620.0230480767648,445.12487560148617
6,2032,186.39924578300548,613.5072617763229,459.2840560374327
7,2033,231.60650967971796,605.1626917731953,472.79805214316985
8,2034,279.7952052411567,594.7783104791606,487.358293108706
9,2035,333.13309950458216,582.2265283335663,501.0989756007329
10,2036,475.9158095131279,567.2775027781289,429.90201289141066
11,2037,985.9400384515911,546.0065600947703,
12,2038,1091.5256747093601,501.73087262122283,
13,2039,1252.661925921958,404.31093337038436,
14,2040,1371.6056503639397,351.64682079666943,
15,2041,1498.434033006096,293.7834118295977,
16,2042,1633.535457377798,230.36719776845737,
17,2043,1761.8090529196231,176.67342331597126,
18,2044,1793.2563311066453,222.7005769970652,
19,2045,666.1092274053658,139.49931463986718,
