,Year,New Bond Principal,New Bond Interest Plus Fees,Existing Bond
0,2026,163.8330452443591,274.5615625076835,
1,2027,66.76857945166081,405.5906033629504,
2,2028,122.24370897734038,402.3202836556633,
3,2029,146.73005195893833,396.3028931070782,
4,2030,172.9412121236379,389.0753001490668,
5,2031,201.24977056758007,380.5508207819743,
6,2032,231.35702200435594,370.62790435712895,
7,2033,263.98439916723896,359.214091753527,
8,2034,298.9115325742575,346.18667593735654,
9,2035,335.1531636515006,332.3593772246368,
10,2036,367.2296171094546,316.86495536288635,
11,2037,401.4118742212878,299.8937034595264,
12,2038,437.4536060486677,281.3488739371061,
13,2039,476.6065844388498,260.32177146415336,
14,2040,518.6288832687873,236.71124564793146,
15,2041,563.1924070305527,211.01693025425973,
16,2042,610.4795580717041,183.1136023548772,
17,2043,660.5681004024859,152.86631852024237,
18,2044,713.5420305898458,120.13390276411032,
19,2045,769.4386867945847,84.93619634497716,
20,2046,823.6124127370588,52.1475732196759,
