,Year,New Bond Principal,New Bond Interest Plus Fees,Existing Bond
20,2025,,,745.4174786927352
0,2026,86.38310866031415,688.2246490700243,
1,2027,246.061860669798,506.09131813160656,
2,2028,269.24164997709863,491.8924623025317,
3,2029,291.5121197697288,476.35769261857075,
4,2030,324.05004176134065,459.536404213854,
5,2031,313.5580662254035,440.84034594555754,
6,2032,347.36903553755377,422.74601022030225,
7,2033,380.8836340449226,402.702811930272,
8,2034,414.0861451139231,380.7264677090537,
9,2035,402.0539394864702,356.83493942360366,
10,2036,436.48010274187897,333.63494301597706,
11,2037,468.4005855568628,308.4501603096626,
12,2038,513.388326582665,281.4242862403118,
13,2039,513.8239018563589,251.80067716238423,
14,2040,545.7151966375385,222.1546157507611,
15,2041,590.675994862906,190.66521774273218,
16,2042,644.963492505411,156.5848204262351,
17,2043,632.7831014755674,119.37007732583724,
18,2044,687.2569534877455,82.85809227011055,
19,2045,748.7628764133743,37.06880293137669,
